id,name,place_type,latitude,longitude,population
716403974,Chatoli,village,32.4492259,76.0263301,
716454978,Lahru,village,32.4064788,75.9812425,
716461139,Sahla,village,32.3795796,76.0069597,
716470969,Tundi,village,32.3318892,76.0575489,
716471078,Mundi,village,32.3680934,76.0123045,
716471141,Chowari,town,32.4323195,76.0107708,
716479345,Thainda,village,32.3160421,76.0668291,
716479501,Dentha,village,32.3210804,76.0707398,
716479512,Samot,village,32.3314348,76.0714739,
716533361,Lower Thulel,village,32.2316095,76.1465757,
716533640,Baddramman,village,32.2426327,76.1450059,
716533679,Thulel,village,32.2367403,76.1489193,
716533781,Bhagiyan,village,32.2506961,76.1427138,
716533885,Kakroti,village,32.2589025,76.1361887,
716534165,Sarali,village,32.2921092,76.1182416,
716534258,Drammannala,village,32.2892951,76.1318704,
716551808,Sihunta,town,32.3015128,76.0893756,
716551822,Balana,village,32.2333266,76.1534177,
716551910,Dramman,village,32.2268934,76.1704007,
716606384,Chambi,hamlet,32.1839753,76.2203108,
716606518,Upper Basnoor,village,32.2013005,76.216097,
716606684,Palwala,village,32.2127806,76.2164247,
716606732,Rehlu,village,32.226025,76.2085313,
716622530,Dodhamb,village,32.2001314,76.2397665,
716622533,Chadhi,village,32.2057746,76.2560241,
724094284,Kandi,village,32.1451145,76.5286035,
724107766,Ghamrota,village,32.148735,76.4923396,
724111126,Ballah,village,32.1408843,76.4782192,
724111184,Ustehar,village,32.1440648,76.4807449,
724112042,Hangloh,village,32.1168995,76.4685655,
724113722,Aarath,village,32.0955178,76.4667353,
724118074,Majhethli Uparli,hamlet,32.1216787,76.4131592,
724118081,Paraur,village,32.0813644,76.4621298,
724118116,Pathiar,village,32.1292135,76.4127993,
732647425,Gulkin,village,36.4064357,74.8623226,
732647430,Attabad,village,36.3152578,74.8138106,
732670170,Shishkat Bala,village,36.3548329,74.8642534,
732670366,Bulchi Dās,village,36.3231001,74.8732983,
733786081,Kandi,village,32.2133361,76.3463802,
733786169,Mohli,hamlet,32.2032515,76.3672857,
733786208,Khaniara,village,32.2125172,76.3684996,
733786436,Darnu,hamlet,32.2183991,76.3321913,
733808740,Gang Bhairon,village,32.1468308,76.2927145,
734223824,Aliabad,town,36.3059806,74.6166723,
735104912,Jaglot,village,36.1806745,74.3044699,
735104914,Sheraz,village,36.3125366,74.635532,
735104916,Mayoon,village,36.2410208,74.4251425,
735133953,Murtazabad,village,36.2820888,74.5997081,
737315377,Shimshal,village,36.4374969,75.3166778,
737324982,Nomal,town,36.0763209,74.2832257,
737324983,Sikandarabad,town,36.2425421,74.3748436,
