OBJECTID_1,Id,OBJECTID,Shape_Leng,Shape_Le_1,Shape_Area,area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
8489,0,0,0.0,757.870123396,30029.8795887,0.0300298795887,75.22167776468427,34.64739221315703,False,2.99,2.06,0
8490,0,0,0.0,247.809081453,3748.3302288,0.0037483302288,75.22772722218775,34.64490698289118,False,2.99,2.06,0
8491,0,0,0.0,838.285973499,43957.1641705,0.0439571641705,75.2291624630792,34.64817342250574,False,2.99,2.06,0
8492,0,0,0.0,1141.33367156,70525.2770249,0.0705252770249,75.14670737438503,34.621632442081264,False,2.99,2.06,0
8493,0,0,0.0,344.233014714,6816.21086172,0.0068162108617200005,75.1851874221252,34.63339890795679,False,2.99,2.06,0
8494,0,0,0.0,563.04894689,21083.1493941,0.0210831493941,75.19149993851121,34.64055837215375,False,2.99,2.06,0
8495,0,0,0.0,1318.78099552,97124.1458061,0.0971241458061,75.17725702280225,34.64584531679358,False,2.99,2.06,0
8496,0,0,0.0,356.659053454,6239.51169336,0.00623951169336,75.18625348192747,34.65249639597443,False,2.99,2.06,0
8497,0,0,0.0,838.985895884,41823.417254,0.041823417254,75.17538789219216,34.65336776501373,False,2.99,2.06,0
8498,0,0,0.0,369.900015391,7683.43553256,0.00768343553256,75.18112405104623,34.655561436351235,False,2.99,2.06,0
8499,0,0,0.0,448.664444698,14593.8132348,0.0145938132348,75.17851414633328,34.658213641569446,False,2.99,2.06,0
8500,0,0,0.0,233.346630086,3714.54963326,0.00371454963326,75.15700228915695,34.68469897424276,False,2.99,2.06,0
8501,0,0,0.0,563.680880095,13699.067988,0.013699067988,75.15925156366025,34.679881568365495,False,2.99,2.06,0
8502,0,0,0.0,546.129422271,11223.4842633,0.0112234842633,75.1616436285815,34.67454943493926,False,2.99,2.06,0
8503,0,0,0.0,427.306437676,7488.91047603,0.00748891047603,75.16482264698881,34.670601446826204,False,2.99,2.06,0
8504,0,0,0.0,347.765388973,7226.15995608,0.007226159956079999,75.16954212320614,34.67212255260634,False,2.99,2.06,0
8505,0,0,0.0,3966.49388852,737230.102596,0.737230102596,75.17942178678103,34.66612349485322,True,2.99,2.06,0
8506,0,0,0.0,786.057249993,43609.1003331,0.043609100333100004,75.1973134404862,34.66293593300558,False,2.99,2.06,0
8507,0,0,0.0,434.671705074,9463.78378637,0.00946378378637,75.20016954312433,34.660121734135004,False,2.99,2.06,0
8508,0,0,0.0,360.694515145,6033.90613299,0.0060339061329899996,75.19829390108112,34.655173883781316,False,2.99,2.06,0
8509,0,0,0.0,349.960760339,7894.98040888,0.00789498040888,75.20319590769726,34.65314741424711,False,2.99,2.06,0
8510,0,0,0.0,783.344475216,38404.815108,0.038404815108,75.20560415008049,34.651510478024804,False,2.99,2.06,0
8511,0,0,0.0,664.252270689,28090.9560846,0.028090956084599997,75.20748461267446,34.66072534636662,False,2.99,2.06,0
8512,0,0,0.0,460.531361349,10878.57885,0.010878578849999999,75.13937063574903,34.85165212754038,False,-2.4,1.63,0
8513,0,0,0.0,349.974321069,6267.16850533,0.00626716850533,75.13826493017605,34.842547809315626,False,-2.4,1.63,0
8514,0,0,0.0,240.800382931,3065.78627057,0.00306578627057,75.14061230486233,34.837673779466364,False,-2.4,1.63,0
8515,0,0,0.0,482.29292459,12109.1202322,0.012109120232200002,75.14969694209576,34.83994842667053,False,-2.4,1.63,0
8516,0,0,0.0,369.316854205,6248.47041444,0.0062484704144400004,75.14991576529111,34.838271596899006,False,-2.4,1.63,0
8517,0,0,0.0,282.558065712,5423.63538465,0.00542363538465,75.15445248114989,34.84220182966869,False,-2.4,1.63,0
8518,0,0,0.0,123.67698867,981.840170078,0.000981840170078,75.15685892877426,34.84420382164476,False,-2.4,1.63,0
8519,0,0,0.0,693.810949081,21776.477231,0.021776477231,75.16100074336256,34.84690594582903,False,-2.4,1.63,0
8520,0,0,0.0,361.981524824,7643.62895636,0.00764362895636,75.0895218729575,34.88872473466258,False,-2.4,1.63,0
8521,0,0,0.0,464.171244796,14390.5687286,0.0143905687286,75.28204276120027,34.86411551065948,False,-2.4,1.63,0
8522,0,0,0.0,1518.3100538,142811.343144,0.142811343144,75.24978356363142,34.92174310099675,True,-2.4,1.63,0
8523,0,0,0.0,246.970451434,4161.22743381,0.00416122743381,75.07094737726042,34.93597351100503,False,-2.4,1.63,0
8524,0,0,0.0,586.126499812,15328.5955771,0.0153285955771,75.12277200527213,34.97459682166705,False,-2.4,1.63,0
8525,0,0,0.0,345.08483017,8643.85310456,0.00864385310456,75.12269400846213,34.966739881487,False,-2.4,1.63,0
8526,0,0,0.0,507.586657625,14831.7992514,0.0148317992514,75.13694833738968,34.95098458090799,False,-2.4,1.63,0
8527,0,0,0.0,262.588814022,4385.92639984,0.004385926399840001,75.14765617369643,34.94125288948026,False,-2.4,1.63,0
8528,0,0,0.0,513.199812857,15836.995347,0.015836995347,75.1552352041655,34.939913759948034,False,-2.4,1.63,0
8529,0,0,0.0,712.984345565,26461.0505337,0.0264610505337,75.15519148711822,34.93830664800402,False,-2.4,1.63,0
8530,0,0,0.0,233.857694312,4067.07462037,0.00406707462037,75.16965264641314,34.94128995094721,False,-2.4,1.63,0
