sample_id,area,longitude,latitude,is_top200,temperature,rainfall,label,elevation,distance_to_nearest_settlement_km,annual_area_change_km2_per_year,growth_data_available,label_source,matched_event_id,matched_event_name,match_distance_km,matched_reference_row,label_method,label_provenance_status,geographic_group_025deg
85,0.045357093,74.54360491,34.91449218,0,-0.81,1.73,0,4173,7.970873065351662,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,38.80120855152365,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
86,0.217292385,74.52268361,34.84895856,1,-0.81,1.73,0,4018,5.826726285206552,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,46.22307218427948,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
87,0.014106051,74.50773085,34.88268408,0,-0.81,1.73,0,3583,7.822610794721371,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,43.40406949393034,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
88,0.029394611,74.57868324,34.92999291,0,-0.81,1.73,0,4287,9.947020481146788,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,35.96434324272737,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
89,0.007266541,74.58610155,34.87835345,0,-0.81,1.73,0,3818,10.27537764469952,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,41.146254598538874,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
90,0.001072802,74.58712869,34.87732973,0,-0.81,1.73,0,3812,10.183005649827347,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,41.22652169268845,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
91,0.010498989,74.58627554,34.88048022,0,-0.81,1.73,0,3848,10.510367605507264,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,40.916486223175106,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
92,0.01635248,74.60211252,34.87199342,0,-0.81,1.73,0,3564,9.955940163774413,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,41.410184267442204,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
93,0.009063474,74.65902658,34.87000376,0,-0.81,1.73,0,3567,11.117070356091755,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,40.56926260164011,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
94,0.111364795,74.67585275,34.83949363,0,-0.81,1.73,0,3868,9.373722542135493,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,43.74826178878484,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
95,0.051222856,74.69584546,34.85904898,0,-2.4,1.63,0,4033,12.035063564055813,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,41.444466512413754,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
96,0.248067301,74.6801604,34.90818862,1,-0.81,1.73,0,3865,15.769965709138424,0.00399,1,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,36.12636253615062,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
97,0.052792729,74.6612636,34.89459665,0,-0.81,1.73,0,4202,13.657451274490093,,0,pakistan_hazardous_lakes_unique.csv (upstream provenance unverified),,,37.83988831585989,,WGS84 geodesic distance to nearest reference coordinate <= 5 km,experimental_proxy_unverified,139_298
